Type,Zreal-1,Zimag-1,Zreal-2,Zimag-2,Zreal-3,Zimag-3,Zreal-4,Zimag-4,Zreal-5,Zimag-5,Zreal-6,Zimag-6,Zreal-7,Zimag-7,Zreal-8,Zimag-8,Zreal-9,Zimag-9,Zreal-10,Zimag-10,Zreal-11,Zimag-11,Zreal-12,Zimag-12,Zreal-13,Zimag-13,Zreal-14,Zimag-14,Zreal-15,Zimag-15,Zreal-16,Zimag-16,Zreal-17,Zimag-17,Zreal-18,Zimag-18,Zreal-19,Zimag-19,Zreal-20,Zimag-20
0,45.89,233.77,550.67,992.77,795.41,1284.57,988.21,1476.22,1376.67,1634.04,1636.71,1730.87,1964.42,1683.71,2389.31,1741.05,3015.84,1444.21,3480.16,1136.08,3799,675.39,4052.85,479.62,4276.1,228.06,4787.4,218.75,5154.88,162.84,5435.54,250.26,6011.66,637.39,6341.9,826.11,6688.6,954.78,7163.9,1078.93
0,4.41,0.99,12.15,11.52,18.92,16.86,26.6,26.47,32.71,32.05,43.22,39.02,54.71,45.07,70.31,49.86,89.92,53.64,111.07,52.87,128.1,49.44,144.03,44.61,158.05,35.59,169.31,27.67,179.37,18.5,185.71,15.03,194.99,8.46,203.82,12.68,209.55,17.35,216.09,24.92
0,5.22,2.05,9.14,8.43,11.76,14.47,14.33,12.12,19.54,17.5,24.76,25.56,29.86,26.96,39.75,34.02,53.36,39.5,68.49,42.75,83.38,42.56,97.57,39.57,108.87,35.61,116.71,33.18,122.08,28.87,128.54,25.72,136.26,18.88,142.17,12.06,145.01,10.08,151.37,7.58
0,7.79,0.37,13.42,4.67,17.59,9.13,21.77,13.46,26.83,17.7,32.11,21.4,37.6,22.62,44.46,26.44,56.31,32.22,70.84,35.12,85.2,35.14,94.44,34.07,106.83,30.08,117.41,27.22,123.22,22.68,132.65,15.24,141.88,6.95,153.05,11.35,160.59,16.57,168.67,24.43
0,7.16,2.05,13.03,10.11,18.27,20.85,25.21,28.7,37.4,38.68,48.85,46.92,63.19,54.21,75.28,58.33,94.66,63.63,115.73,65.46,136.59,63.91,153.47,58.68,169.49,51.47,185.52,43.55,195.46,35.86,199.9,29.01,206.24,26.21,217.61,14.05,229.89,11.72,240.57,22.32
0,7.17,4.06,9.81,13.12,16.62,21.78,24.43,29.04,31.99,36.8,39.42,44.46,48.76,49.48,64.31,58.2,77.76,64.01,102.77,68.99,125.57,68.66,143.94,65.2,163.19,58.31,175.76,51.96,192.88,38.67,202.91,31.39,210.11,23.26,217.35,12.35,232.24,14.38,241.95,20.41
0,51.24,202.38,142.86,307.09,242.86,451.53,395.59,809.16,469.65,654.97,557.14,902.9,672.61,1140.93,757.14,1209.86,890.48,1555.02,977.05,1525.91,1111.23,1704.89,1193.47,1723.27,1257.14,1715.06,1412.98,1690.82,1525.32,2017.02,1655.17,2009.88,1842.74,2300.15,1942.86,2310.26,2085.71,2418.43,2304.44,2516.75
0,8.27,8.55,19.54,25.59,30.12,22.25,40.72,39.29,51.22,44.46,72.36,49.52,87.08,39.39,111.17,40.41,127.06,33.68,148.44,27.68,166.82,19.9,185.25,20,207.01,21.99,219.79,36.97,232.55,53.9,243.74,69.36,255.25,90.52,272.87,115.5,285.05,153.41,298.42,175.11
0,9.82,10.06,28.66,20.3,48.29,43.3,67.66,48.56,87.05,50.95,114.66,53.73,127.61,45.94,137.89,47.68,166.36,59.24,179.9,50.04,199.47,50.82,217.2,56.21,233.99,41.99,252.28,40.23,267.49,39.16,290.2,30.34,316.5,45.36,337.12,57.38,355.85,70.8,374.59,93.02
0,15.21,0.19,15.68,0.24,16.24,0.64,16.71,1.06,17.51,1.45,18.16,1.63,18.8,1.82,19.54,2.31,21.22,2.66,22.49,2.61,23.74,2.9,24.39,3.46,24.75,3.49,25.15,3.89,25.82,4.69,26.41,5.26,26.93,5.79,27.7,6.41,28.63,7.16,29.56,7.92
0,16.67,0.84,16.95,1.31,17.18,1.54,17.33,1.68,17.75,2.72,18.04,2.81,18.4,3.69,18.66,4.06,18.95,4.47,19.39,4.91,19.59,5.22,19.99,5.92,20.38,6.48,20.74,6.77,21.15,7.2,21.51,7.66,21.92,8.17,22.29,8.51,22.71,9.02,23.24,9.57
0,15.48,0.26,16.04,0.43,16.26,0.66,16.62,1.06,16.9,1.25,17.23,2.03,17.79,2.37,18.38,2.63,19.33,3,20.87,3.13,21.76,3.01,22.55,2.79,23.2,2.3,23.63,1.92,24.09,1.8,24.5,1.1,24.87,0.72,25.43,0.38,26.2,0.44,27.36,0.66
0,3.24,9.27,5.28,12.38,13.37,13.91,20.26,31.04,25.71,37.77,31.61,35,38.64,49.01,55.1,57.49,66.83,57.95,79.68,62.66,103.52,65.51,116.3,66.2,136.99,63.07,158.42,57.92,174.19,54.81,187.43,54.22,208.39,63.83,236.68,97.8,259.66,136.69,287.01,192.79
0,211.28,60.08,223.45,80.56,234.1,98.48,250.57,111.68,272.79,138.34,304.84,149.81,337.04,149.65,365.55,139.34,393.47,133.88,424.3,116.34,453.66,93.95,471.12,77.87,496.03,39.13,509.58,42.32,515.97,62.04,527.26,90.81,542.21,125.99,555.35,153.25,573.9,198.37,591.62,237.91
0,157.34,18.94,171.32,42.92,187.16,76.4,207.52,90.19,229.65,90.95,252.38,81.85,277.12,59.1,291.98,40.24,308.58,32.55,316.15,51.35,327.14,76.37,335.66,94.84,345.6,114.76,358.35,133.96,378.31,172.44,394.25,191.76,408.27,230.46,422.19,257.47,439.94,294.42,459.44,331.43
0,78.24,16.33,88.79,25.48,113.69,19.43,123.39,18.45,127.57,56.15,136.46,65.24,147.78,64.39,154.85,66.53,160.9,104.92,173.87,118.45,186.01,140.52,198.41,168.54,210.2,180.57,226.16,207.3,240.8,230.85,257.96,258.17,271.72,278.71,286.13,293.66,302.81,324.48,321.9,346.82
0,30.28,4.19,39.36,3.31,46.93,4.99,51.48,8.4,74.34,40.72,103.67,52.18,132.95,60.44,147.92,70.38,170.03,72.09,191.63,78.77,206.73,76.98,228.18,89.12,247.48,107.17,256.75,110.34,280.02,109.8,306.54,108.55,333.34,95.7,343.39,110.92,366.41,110.15,395.22,108.47
0,8.16,2.48,15.5,10.29,22.65,7.72,26.32,10.18,29.96,6.21,32.57,11.87,33.66,20.42,37.3,13.63,40.96,12.29,42.41,11.84,48.29,17.73,51.94,15.07,54.53,17.79,55.93,20.47,59.28,21.17,65.84,12.06,70.25,17.17,74.19,21.23,79.01,9.95,83.53,11.94
0,6.81,-0.02,15.15,5.09,15.86,11.49,18.79,12.13,21.66,2.95,24.49,10.73,27.4,6.79,28,0.77,30.31,12.73,30.36,16.7,33.28,13.39,36.2,13.38,37.09,5.88,39.13,13.37,41.66,15.27,42.07,16.67,44.96,6.02,46.95,10.98,47.92,15,49.75,15
0,0.78,0.08,0.94,0.32,1.21,0.51,1.49,0.43,1.68,0.25,1.84,0.12,1.94,0.21,2.06,0.42,2.13,0.71,2.24,0.99,2.33,1.4,2.41,1.67,2.45,1.88,2.52,2.28,2.59,2.7,2.65,3.1,2.7,3.5,2.75,3.92,2.79,4.27,2.82,4.63
0,0.8,0.02,0.87,0.22,0.98,0.34,1.14,0.4,1.27,0.43,1.45,0.41,1.76,0.36,1.97,0.56,2.12,0.78,2.24,1.09,2.38,1.42,2.55,1.7,2.68,2.01,2.85,2.36,3.04,2.74,3.21,3.13,3.38,3.52,3.54,3.88,3.71,4.26,3.87,4.64
0,11.69,9.22,28.64,49.06,54.04,107.73,80.8,131,126.62,160.67,171.92,186.54,232.81,204.55,277.18,211.84,337.44,208.46,389.51,200.06,451.6,181.86,499.78,157.6,549.29,142.81,603.11,132.59,633.94,138.96,663.14,145.81,693.36,165.12,723.49,185.18,765.07,224.01,794.55,240.5
0,0.71,0.13,0.78,0.12,0.91,0.39,1.15,0.51,1.44,0.33,1.52,0.12,1.57,0.2,1.6,0.23,1.7,0.22,1.78,0.52,1.88,0.73,1.99,0.83,2.06,1.15,2.17,1.59,2.27,1.99,2.37,2.43,2.49,3.02,2.57,3.47,2.63,3.94,2.71,4.45
0,6.55,21.44,28.84,34.88,47.11,53.06,63.61,53.78,85.66,66.1,115.24,78.2,129.67,78.63,146.53,77.04,163.35,72.52,181.42,57.29,194.4,69.58,216.05,46.94,232.77,38.15,240.51,35.99,261.84,46.97,269.61,69.15,278.45,56.56,289.93,90.49,297.49,100.33,310.22,105.04
0,8.31,20.75,18.15,7.72,30.53,27.18,40.21,23.1,48.55,35.57,75.06,57.89,93.41,61.83,113.84,50.54,127.46,57.15,138.74,67.83,151.86,35.11,171.37,32.68,190.45,46.62,200.8,44.67,213.3,71.45,221.87,67.67,230.86,64.69,238.63,91.57,246.14,121.02,254.94,93.24
0,1.22,4.09,5.81,18.55,6.71,5.12,12.07,22.75,23.72,28.44,40.59,48.78,54.65,55.02,78.64,59.69,95.22,61.44,129.08,56.16,149.74,44.21,169.55,34.74,179.83,38.63,190.25,42.04,206.94,58.17,222.96,74.87,239.97,97.55,267.22,130.91,302.44,165.54,328.58,190.98
0,-0.24,0.38,8.23,14.15,15.59,18.41,24.67,33.25,36.37,41.78,53.41,49.49,74.25,54.76,98.81,53.08,116.2,48.95,131.14,43.64,143.88,38.38,163.45,38.25,179.29,49.16,199.06,67.99,217.01,81.96,238.79,103.21,253.47,111.8,287.2,139.58,320.02,172.89,347.15,191.73
0,6.15,7.77,17.55,34.95,38.66,75.55,59.82,97.14,76.73,111.45,99.99,138.05,136.6,158.04,182.42,173.4,204.99,179.47,231.63,180.3,301.29,174.16,360.67,156.67,401.6,137.17,441.16,116.35,472.98,98.42,490.31,106.69,523.02,80.37,551.25,77.29,584.52,86.78,611.91,107
0,15.71,1.56,18.4,2.51,22.44,6.76,25.13,11.96,27.83,15.74,33.2,11.96,37.83,12.96,38.59,21.41,41.27,15.74,45.2,9.07,49.31,2.51,52.01,4.4,54.7,8.18,58.1,7.78,62.09,3.45,65.45,7.23,68.15,11.96,70.84,12.9,72.85,11.01,76.22,16.21
0,16.23,30.05,40.69,78.49,77.73,121.11,110.02,145.05,142.31,162.53,174.93,171.34,213.2,181.43,247.2,183.01,287.52,178.76,319.77,172.14,352.01,160.96,384.26,147.41,416.49,130.88,448.73,113.55,472.9,99.53,505.14,85.12,537.39,77.95,569.66,78.74,601.95,96.7,632.24,129.46
0,6.15,10.35,20.06,27.67,28.56,35.4,39.23,41.68,47.46,51.45,62.78,56.13,83.01,59.84,103.78,58.46,120.15,52.74,135.16,44.74,144.44,42.04,153.98,35.83,162.16,30.24,170.35,25.9,178.53,21.56,186.72,19.1,201.74,14.49,210.41,21.99,218.18,27.77,230.51,41.03
0,8.05,10.19,15.24,13.29,16.27,17.53,21.18,22.06,24.93,24.66,28.25,24.98,39.18,25.21,47.66,25.73,57.74,31.32,63.77,23.96,71.72,6.9,76.03,10.23,82.97,12.13,87.65,10.87,92.42,9.08,99.23,4.42,104.54,20.01,111.12,26.51,115.68,21.47,122.38,33.03
0,4.27,0.52,7.01,5.71,10.4,-2.74,15.2,2.47,17.94,3.43,20.68,5.33,23.02,11.75,26.14,4.89,28.87,4.91,31.61,6.81,36.12,6.67,38.42,-0.2,40.46,-2.54,43.62,9.3,46.62,0.32,49.37,5.98,52.09,3.18,54.83,5.08,56.73,6.8,61.69,12.18
0,4.29,0.56,6.11,2.54,8.82,4.92,12.43,6.48,16.07,7.31,19.77,7.81,23.47,8.04,27.33,7.48,30.38,5.83,33.31,2.22,36.15,3.14,39.62,6,42.64,7.45,46.13,9.37,50.05,11.35,53.88,13.16,57.8,15.41,62.74,17.87,68.38,20.41,74.64,23.02
0,10.31,2,12.56,2.86,14.79,4.6,17.46,4.68,21.1,4.52,23.49,3.99,26.29,4.37,29.01,4.75,31.17,3.9,33.83,3.7,35.79,3.22,38.45,4.17,41.02,6.53,44.69,11.77,47.17,15.46,49.69,20.68,52.22,24.07,55.96,34.55,58.64,41.23,65.45,58.95
0,14.2,3.02,16.63,2.64,17.9,2.11,19.49,0.83,20.5,1.43,22.1,1.99,23.34,2.36,25.1,1.31,26.13,0.75,27.57,1.86,28.47,1.61,29.19,2.78,31.13,8.79,31.85,9.68,32.75,14.35,34.17,18.14,35.6,21.69,37.29,26.21,39.5,31.53,41.96,37.82
0,19.11,27.08,30.15,38.61,41.32,51.65,52.77,62.04,70.26,77.17,91.79,88.51,121.65,97.96,153.64,97.96,184.55,92.29,210.07,80.95,228.87,67.72,242.3,56.37,253.03,44.4,262.77,36.06,272.1,33.69,279.89,24.87,289.62,16.21,308.78,19.05,316.18,25.19,325.61,36.69
0,16.39,11.01,25.15,23.3,33.22,27.08,52.05,30.86,61.45,27.08,66.83,28.97,72.2,27.08,81.6,17.16,86.97,12.9,91,10.54,93.69,13.85,101.75,10.07,107.13,10.07,112.51,9.6,115.43,15.74,119.92,22.35,123.27,15.74,126.19,19.52,130.66,16.68,136.05,20.46
0,0.08,0.1,0.12,0.12,0.1,0.03,0.14,0.05,0.17,0.08,0.2,0.09,0.28,0.18,0.3,0.14,0.37,0.14,0.44,0.16,0.47,0.14,0.5,0.12,0.55,0.09,0.61,0.09,0.68,0.12,0.74,0.16,0.8,0.18,0.9,0.24,0.1,0.05,0.58,0.11
0,5.07,2.47,12.75,2.4,28.11,56.05,51.14,79.77,92.83,116.87,178.39,158.76,255.17,164.87,312.21,152,369.91,134.35,409.84,115.17,438.8,89.43,462.49,63.53,489.91,42.97,538.96,43.86,587.54,66.67,624.84,86.08,664.01,112.4,691.75,131.35,721.37,148.09,761.59,170.39
0,8.87,2,12.3,6.14,15.85,9.07,19.24,11.1,23.25,13.78,26.98,15.48,32.69,18.46,37.77,20.2,43.4,21.2,49.38,21.26,55.67,19.81,60.56,18.29,65.3,15.53,68.61,13.38,72.92,15.33,75.38,19.84,78.42,29.04,81.91,38.35,89.39,60.04,94.21,80.36
0,7.1,1.85,9.72,5.69,14.66,10.56,19.72,16.21,23.36,20.09,29.42,24.25,36.83,28.09,45.04,31.11,54.02,33.13,62.44,33.66,71.27,32.98,80.85,31.14,90.05,29.96,97.83,28.75,103.96,28.41,107.24,32.17,113.49,36.24,121.39,47.85,128.6,59.08,137.25,74.95
0,0.23,0.08,0.29,0.1,0.43,0.31,0.51,0.43,0.66,0.48,0.99,0.64,1.23,0.66,1.53,0.6,1.69,0.56,1.85,0.48,1.93,0.44,2.03,0.41,2.1,0.36,2.19,0.39,2.25,0.39,2.32,0.4,2.41,0.41,2.51,0.4,2.67,0.44,2.94,0.5
0,0.41,0.09,0.53,0.17,0.62,0.38,0.8,0.69,0.94,0.88,1.24,1.11,1.64,1.2,2.05,1.25,2.58,1.16,2.93,1.02,3.21,0.89,3.4,0.78,3.67,0.72,3.78,0.73,3.94,0.81,4.19,0.86,4.35,0.97,4.65,1.08,4.96,1.13,5.29,1.25
0,0.56,0.04,0.73,0.31,0.83,0.42,1,0.67,1.18,0.81,1.45,1.09,1.77,1.31,2.17,1.52,2.65,1.65,3.2,1.7,3.61,1.62,3.96,1.47,4.24,1.39,4.5,1.38,5.03,1.45,5.48,1.59,6.03,1.77,6.6,1.94,7.06,2.1,7.68,2.29
0,11.13,7.63,27.78,25.71,50.42,44.25,91.03,54.42,131.7,55.05,171.57,46.47,201.31,35.28,213.78,26.26,243.18,16.35,261.54,32,276.21,44.37,302.07,66.13,318.99,83.12,336.43,104.19,357.25,119.56,378.19,145.08,398.04,166.09,415.34,181.12,433.64,207.66,455.37,230.92
0,-8.63,16.13,-0.04,1.33,16.65,67.82,41.81,104.53,65.43,133.93,101.5,166.82,149.4,195.59,207.81,218.54,318.64,227.89,457.98,198.91,513.75,175.07,552.45,152.99,598.6,124.19,641.87,95.18,676.91,71.26,742.61,50.75,794.65,56.62,863.58,92.81,937.94,138.91,978.92,168.93
